"company_name","city","state","zip","agency","certification_type","ethnicity","commodity_code"
"*PRADO & RENTERIA CPAS, Prof. Corp.","Chicago","IL",60616,"Cook County","WBE","Hispanic American","541211 - Accountants' (i.e., CPAs) offices, certified public; 541211 - Accountants' (i.e., CPAs) private practices, certified public; 541211 - Accounting (i.e., CPAs) services, certified public; 541211 - Auditing accountants' (i.e., CPAs) offices; 541211 - Auditing accountants' (i.e., CPAs) private practices; 541211 - Auditing services (i.e., CPA services), accounts; 541211 - Auditors' (i.e., CPAs) offices, accounts; 541211 - Auditors' (i.e., CPAs) private practices, accounts; 541211 - Certified public accountants' (CPAs) offices; 541211 - CPAs' (certified public accountants) offices; 541211 - Public accountants' (CPAs) offices, certified; 541211 - Public accountants' (CPAs) private practices, certified; 541611 - Business management consulting services; 541611 - Business start-up consulting services; 541611 - General management consulting services; 541611 - Reorganizational consulting services; 541611 - Strategic planning consulting services; 541611 - Administrative Management and General Management Consulting Services; 541618 - Other Management Consulting Services; 541618 - Utilities management consulting services"
"*PRADO & RENTERIA CPAS, Prof. Corp.","Chicago","IL",60616,"Cook County","MBE","Hispanic American","541211 - Accountants' (i.e., CPAs) offices, certified public; 541211 - Accountants' (i.e., CPAs) private practices, certified public; 541211 - Accounting (i.e., CPAs) services, certified public; 541211 - Auditing accountants' (i.e., CPAs) offices; 541211 - Auditing accountants' (i.e., CPAs) private practices; 541211 - Auditing services (i.e., CPA services), accounts; 541211 - Auditors' (i.e., CPAs) offices, accounts; 541211 - Auditors' (i.e., CPAs) private practices, accounts; 541211 - Certified public accountants' (CPAs) offices; 541211 - CPAs' (certified public accountants) offices; 541211 - Public accountants' (CPAs) offices, certified; 541211 - Public accountants' (CPAs) private practices, certified; 541611 - Business management consulting services; 541611 - Business start-up consulting services; 541611 - General management consulting services; 541611 - Reorganizational consulting services; 541611 - Strategic planning consulting services; 541611 - Administrative Management and General Management Consulting Services; 541618 - Other Management Consulting Services; 541618 - Utilities management consulting services"
"*PRADO & RENTERIA CPAS, Prof. Corp.","Chicago","IL",60616,"Cook County","WBE","Hispanic American","541211 - Accountants' (i.e., CPAs) offices, certified public; 541211 - Accountants' (i.e., CPAs) private practices, certified public; 541211 - Accounting (i.e., CPAs) services, certified public; 541211 - Auditing accountants' (i.e., CPAs) offices; 541211 - Auditing accountants' (i.e., CPAs) private practices; 541211 - Auditing services (i.e., CPA services), accounts; 541211 - Auditors' (i.e., CPAs) offices, accounts; 541211 - Auditors' (i.e., CPAs) private practices, accounts; 541211 - Certified public accountants' (CPAs) offices; 541211 - CPAs' (certified public accountants) offices; 541211 - Public accountants' (CPAs) offices, certified; 541211 - Public accountants' (CPAs) private practices, certified; 541611 - Business management consulting services; 541611 - Business start-up consulting services; 541611 - General management consulting services; 541611 - Reorganizational consulting services; 541611 - Strategic planning consulting services; 541611 - Administrative Management and General Management Consulting Services; 541618 - Other Management Consulting Services; 541618 - Utilities management consulting services"
"*PRADO & RENTERIA CPAS, Prof. Corp.","Chicago","IL",60616,"Cook County","MBE","Hispanic American","541211 - Accountants' (i.e., CPAs) offices, certified public; 541211 - Accountants' (i.e., CPAs) private practices, certified public; 541211 - Accounting (i.e., CPAs) services, certified public; 541211 - Auditing accountants' (i.e., CPAs) offices; 541211 - Auditing accountants' (i.e., CPAs) private practices; 541211 - Auditing services (i.e., CPA services), accounts; 541211 - Auditors' (i.e., CPAs) offices, accounts; 541211 - Auditors' (i.e., CPAs) private practices, accounts; 541211 - Certified public accountants' (CPAs) offices; 541211 - CPAs' (certified public accountants) offices; 541211 - Public accountants' (CPAs) offices, certified; 541211 - Public accountants' (CPAs) private practices, certified; 541611 - Business management consulting services; 541611 - Business start-up consulting services; 541611 - General management consulting services; 541611 - Reorganizational consulting services; 541611 - Strategic planning consulting services; 541611 - Administrative Management and General Management Consulting Services; 541618 - Other Management Consulting Services; 541618 - Utilities management consulting services"
"1st Call Technical Services, Inc","BOLINGBROOK","IL",60440,"Chicago","VBE","Caucasian","541320 - Landscape architectural services; 541360 - Geophysical Surveying and Mapping Services; 541370 - Surveying and Mapping (except Geophysical) Services; 541620 - Environmental consulting services"
"1st Metropolitan Translation Services, Inc.","CHICAGO","IL",60611,"Chicago","WBE","Caucasian","541930 - Translation and Interpretation Services"
"1st Priority Elevator, Co.","South Holland","IL",60473,"Cook County","MBE","African-American (Black)","238290 - Elevator installation"
"2 Point Perspective, Inc.","Chicago","IL",60614,"Chicago","WBE","Caucasian","541310 - Architectural Services; 541410 - Interior design services"
"2 Sons LLC","Westchester","IL",60154,"Chicago","VBE","Hispanic/Latino","238210 - Alarm system (e.g., fire, burglar), electric, installation only; 238210 - Electrical contractors"
"2 Sons LLC","Westchester","IL",60154,"Chicago","MBE","Hispanic/Latino",NULL
