ethnicity,certified
NULL,NULL
NULL,NULL
NULL,NULL
Caucasian,9/9/2020
African American,9/9/2020
African American,9/9/2020
African American,9/9/2020
African American,9/9/2020
Asian American,9/9/2020
African American,9/9/2020
Caucasian,9/9/2020
Caucasian,9/9/2020
Caucasian,9/9/2020
African American,9/9/2020
Caucasian,9/9/2020
Caucasian,9/9/2020
African American,9/9/2020
African American,9/9/2020
Hispanic American,9/9/2016
African American,9/8/2020
Asian American,9/8/2020
Caucasian,9/8/2020
Caucasian,9/8/2020
Hispanic American,9/7/2018
Caucasian,9/6/2020
African American,9/6/2019
Caucasian,9/6/2019
Hispanic American,9/6/2018
Asian American,9/6/2018
African American,9/6/2018
African American,9/6/2017
Hispanic American,9/6/2017
Asian American,9/5/2019
Asian American,9/5/2019
African American,9/5/2018
African American,9/5/2018
Asian American,9/4/2020
African American,9/4/2020
Caucasian,9/4/2020
African American,9/4/2020
Asian American,9/4/2020
Asian American,9/4/2020
African American,9/4/2020
African American,9/4/2020
Caucasian,9/4/2020
Caucasian,9/4/2020
Hispanic American,9/30/2020
African American,9/30/2020
African American,9/30/2020
African American,9/30/2020
Hispanic American,9/30/2020
African American,9/30/2020
African American,9/30/2020
African American,9/30/2020
African American,9/30/2020
African American,9/30/2020
African American,9/30/2020
African American,9/30/2020
African American,9/30/2020
African American,9/30/2020
African American,9/30/2020
African American,9/30/2020
African American,9/30/2020
African American,9/30/2019
African American,9/30/2019
Caucasian,9/30/2016
Asian American,9/3/2020
Hispanic American,9/3/2020
Caucasian,9/3/2020
African American,9/3/2019
Hispanic American,9/29/2020
African American,9/29/2020
African American,9/29/2020
Asian American,9/29/2020
African American,9/29/2020
Caucasian,9/29/2020
African American,9/29/2020
Hispanic American,9/29/2020
African American,9/29/2020
Caucasian,9/29/2020
Caucasian,9/29/2020
Hispanic American,9/29/2020
African American,9/29/2020
Hispanic American,9/29/2020
Asian American,9/29/2020
African American,9/29/2017
Caucasian,9/28/2020
African American,9/28/2020
African American,9/28/2020
African American,9/28/2018
African American,9/28/2018
Asian American,9/28/2017
