company_name,city,state,zip,agency,certification_type,ethnicity,gender,capability,company_name-2,city-2,state-2,zip-2,agency-2,certification_type-2,ethnicity-2,capability-2,company_name-3,city-3,state-3,zip-3,agency-3,certification_type-3,capability-3
"*PRADO & RENTERIA CPAS, Prof. Corp.",Chicago,IL,"	60616",CMS,WMBE,Hispanic,Female,"Certified Public Accountant (CPA) Services.; Audit Services,; Accounting and Billing Services, Including Payroll Services, 3rd Party Reimbursement for Medicare, Medicaid, Private Insurance, etc.,; FINANCIAL SERVICES,; Management Consulting; Inventory Consulting; Minority, Women, Veteran and Small Business Consulting; Quality Assurance and Control Consulting; ; ","*PRADO & RENTERIA CPAS, Prof. Corp.",Chicago,IL,60616,Cook County,WBE,Hispanic American,"Professional Service:  Certified Accounting Firm; Auditing Services; Administrative, Business and General Consulting Services; ","*PRADO & RENTERIA CPAS, Prof. Corp.",Chicago,IL,60616,Cook County,MBE,"Professional Service:  Certified Accounting Firm; Auditing Services; Administrative, Business and General Consulting Services; "
"*PRADO & RENTERIA CPAS, Prof. Corp.",Chicago,IL,"	60616",CMS,WMBE,Hispanic,Female,"Certified Public Accountant (CPA) Services.; Audit Services,; Accounting and Billing Services, Including Payroll Services, 3rd Party Reimbursement for Medicare, Medicaid, Private Insurance, etc.,; FINANCIAL SERVICES,; Management Consulting; Inventory Consulting; Minority, Women, Veteran and Small Business Consulting; Quality Assurance and Control Consulting; ; ","*PRADO & RENTERIA CPAS, Prof. Corp.",Chicago,IL,60616,Cook County,MBE,Hispanic American,"Professional Service:  Certified Accounting Firm; Auditing Services; Administrative, Business and General Consulting Services; ","*PRADO & RENTERIA CPAS, Prof. Corp.",Chicago,IL,60616,Cook County,MBE,"Professional Service:  Certified Accounting Firm; Auditing Services; Administrative, Business and General Consulting Services; "
"*PRADO & RENTERIA CPAS, Prof. Corp.",Chicago,IL,"	60616",CMS,WMBE,Hispanic,Female,"Certified Public Accountant (CPA) Services.; Audit Services,; Accounting and Billing Services, Including Payroll Services, 3rd Party Reimbursement for Medicare, Medicaid, Private Insurance, etc.,; FINANCIAL SERVICES,; Management Consulting; Inventory Consulting; Minority, Women, Veteran and Small Business Consulting; Quality Assurance and Control Consulting; ; ","*PRADO & RENTERIA CPAS, Prof. Corp.",Chicago,IL,60616,Cook County,WBE,Hispanic American,"Professional Service:  Certified Accounting Firm; Auditing Services; Administrative, Business and General Consulting Services; ","*PRADO & RENTERIA CPAS, Prof. Corp.",Chicago,IL,60616,Cook County,WBE,"Professional Service:  Certified Accounting Firm; Auditing Services; Administrative, Business and General Consulting Services; "
"*PRADO & RENTERIA CPAS, Prof. Corp.",Chicago,IL,"	60616",CMS,WMBE,Hispanic,Female,"Certified Public Accountant (CPA) Services.; Audit Services,; Accounting and Billing Services, Including Payroll Services, 3rd Party Reimbursement for Medicare, Medicaid, Private Insurance, etc.,; FINANCIAL SERVICES,; Management Consulting; Inventory Consulting; Minority, Women, Veteran and Small Business Consulting; Quality Assurance and Control Consulting; ; ","*PRADO & RENTERIA CPAS, Prof. Corp.",Chicago,IL,60616,Cook County,MBE,Hispanic American,"Professional Service:  Certified Accounting Firm; Auditing Services; Administrative, Business and General Consulting Services; ","*PRADO & RENTERIA CPAS, Prof. Corp.",Chicago,IL,60616,Cook County,WBE,"Professional Service:  Certified Accounting Firm; Auditing Services; Administrative, Business and General Consulting Services; "
"1st Call Technical Services, Inc",BOLINGBROOK,IL,"	60440",CMS,VOSB,Caucasian,Male,"NIGP	92033	Mapping and Geographical Information Systems (GIS) Services, Digitized, Cartography (See 962-52 for Standard Mapping Services); NIGP	96252	Mapping and Geographical Information Systems (GIS) Services, Including Cartography and Surveying Services, Not Aerial, (See 920-33 for Digitized Mapping Services and 905-10 for Aerial Mapping and Survey Services)","1st Call Technical Services, Inc",BOLINGBROOK,IL,60440,Chicago,VBE,Caucasian,541370-Surveying And Mapping (except geophysical) Services; 541360 - Geophysical Surveying and Mapping Services; 541620 - Environmental Consulting Services ; 541320 - Landscape Architectural Services,"1st Call Technical Services, Inc",BOLINGBROOK,IL,60440,Chicago,VBE,541370-Surveying And Mapping (except geophysical) Services; 541360 - Geophysical Surveying and Mapping Services; 541620 - Environmental Consulting Services ; 541320 - Landscape Architectural Services
"1st Metropolitan Translation Services, Inc.",CHICAGO,IL,"	60611",CMS,WBE,Caucasian,Female,Translation Services,"1st Metropolitan Translation Services, Inc.",CHICAGO,IL,60611,Chicago,WBE,Caucasian,NAICS 541930 Translation and Interpretation Services,"1st Metropolitan Translation Services, Inc.",CHICAGO,IL,60611,Chicago,WBE,NAICS 541930 Translation and Interpretation Services
"2 Point Perspective, Inc.",Chicago,IL,"	60614",CMS,WBE,Caucasian,Female,"ARCHITECTURAL SERVICES, PROFESSIONAL; Interior Design, Decorating, Space Planning, Exhibits and Displays","2 Point Perspective, Inc.",Chicago,IL,60614,Chicago,WBE,Caucasian,NAICS 541310 Architectural Services ; NAICS 541410 Interior design services; ; ,"2 Point Perspective, Inc.",Chicago,IL,60614,Chicago,WBE,NAICS 541310 Architectural Services ; NAICS 541410 Interior design services; ; 
"2IM Group, LLC",Chicago,IL,"	60661",CMS,MBE,Hispanic,Male,"ENGINEERING SERVICES, PROFESSIONAL; Maintenance and Repair: Airport Roadway, Runway and Taxiway; Drainage Engineering; Highways, Streets, Airport Pay-Parking Lots Engineering; ","2IM Group, LLC",Chicago,IL,60661,Cook County,MBE,Hispanic American,Professional Service:  Civil Engineering Services,"2IM Group, LLC",Chicago,IL,60661,Cook County,MBE,Professional Service:  Civil Engineering Services
"3 R Healthcare Products, Inc.",Chicago,IL,"	60632",CMS,WMBE,African American,Female,"Contraceptives; Serums, Toxoids, and Vaccines; Glove Powder and Detergents","3 R Healthcare Products, Inc.",South Holland,IL,60473,Cook County,WBE,African-American (Black),Pharmaceutical:  Distributor of Prescription and Non-Prescription Drugs,"3 R Healthcare Products, Inc.",South Holland,IL,60473,Cook County,MBE,Pharmaceutical:  Distributor of Prescription and Non-Prescription Drugs
"3 R Healthcare Products, Inc.",Chicago,IL,"	60632",CMS,WMBE,African American,Female,"Contraceptives; Serums, Toxoids, and Vaccines; Glove Powder and Detergents","3 R Healthcare Products, Inc.",South Holland,IL,60473,Cook County,MBE,African-American (Black),Pharmaceutical:  Distributor of Prescription and Non-Prescription Drugs,"3 R Healthcare Products, Inc.",South Holland,IL,60473,Cook County,MBE,Pharmaceutical:  Distributor of Prescription and Non-Prescription Drugs
"3 R Healthcare Products, Inc.",Chicago,IL,"	60632",CMS,WMBE,African American,Female,"Contraceptives; Serums, Toxoids, and Vaccines; Glove Powder and Detergents","3 R Healthcare Products, Inc.",South Holland,IL,60473,Cook County,WBE,African-American (Black),Pharmaceutical:  Distributor of Prescription and Non-Prescription Drugs,"3 R Healthcare Products, Inc.",South Holland,IL,60473,Cook County,WBE,Pharmaceutical:  Distributor of Prescription and Non-Prescription Drugs
"3 R Healthcare Products, Inc.",Chicago,IL,"	60632",CMS,WMBE,African American,Female,"Contraceptives; Serums, Toxoids, and Vaccines; Glove Powder and Detergents","3 R Healthcare Products, Inc.",South Holland,IL,60473,Cook County,MBE,African-American (Black),Pharmaceutical:  Distributor of Prescription and Non-Prescription Drugs,"3 R Healthcare Products, Inc.",South Holland,IL,60473,Cook County,WBE,Pharmaceutical:  Distributor of Prescription and Non-Prescription Drugs
4HD INC,Lombard,IL,"	60148",CMS,WBE,Caucasian,Female,"	91313	Construction, Bridge and Drawbridge, Including Reconstruction and Rehabilitation",4HD INC,Lombard,IL,60148,Chicago,WBE,Caucasian,"NAICS	237310	Construction management, highway, road, street and bridge",4HD INC,Lombard,IL,60148,Chicago,WBE,"NAICS	237310	Construction management, highway, road, street and bridge"
5366 Logistics Corp,Richmond,IL,"	60071",CMS,PBE,Caucasian,Male,"NIGP 75077 Sand and Gravel ; NIGP 91371 Maintenance and Repair, Highway and Road (To include the removal of asphalt, concrete, bitumens, etc) ; NIGP 96239 Hauling Services ; NIGP 96256 Moving and Relocation Services ; NIGP 96712 Aggregate, Concrete or Stone Products (Including Clay, Refractory Materials and Tile Products); 745-10-00 Asphalt, Emulsified (With Latex/Polymer) ; 745-14-00 Asphaltic Concrete, Cold Laid ; 745-21-00 Asphaltic Concrete, Hot Laid Including Bituminous Materials ; 745-68-00 Recycled Asphalt and Asphalt Products; 545-26-60	PRESSURE WASHER, HOT WATER; Active NIGP 07519 Cleaning and Washing Equipment: Steam, Cold and Hot Water Pressure and Jet Types, Portable and Stationary (Also See 075-49); Active NIGP 77545 Road Maintenance Salt (See Class 192 for Ice Removal Chemicals); ; 91395 Paving/Resurfacing, Highway and Road  ; ",5366 Logistics Corp,Richmond,IL,60071,Chicago,VBE,Hispanic/Latino,"NAICS 238110 - Concrete Work (except paving); NAICS 236220 - Construction Management, Commercial and Institutional Building Construction; NAICS 238910 - Dirt Moving For Construction; NAICS 484110 - General Freight Trucking, Local; NAICS 484220 - Dump Trucking; NAICS 484122 - Trucking, General Freight, Long-Distance, Less-Than-Truckload; NAICS 562119 - Waste (except solid and hazardous) Hauling, Local; NAICS 484121 - Trucking, General Freight, Long Distance, Truckload",5366 Logistics Corp,Richmond,IL,60071,Chicago,BEPD,"NAICS 238110 - Concrete Work (except paving); NAICS 236220 - Construction Management, Commercial and Institutional Building Construction; NAICS 238910 - Dirt Moving For Construction; NAICS 484110 - General Freight Trucking, Local; NAICS 484220 - Dump Trucking; NAICS 484122 - Trucking, General Freight, Long-Distance, Less-Than-Truckload; NAICS 562119 - Waste (except solid and hazardous) Hauling, Local; NAICS 484121 - Trucking, General Freight, Long Distance, Truckload"
5366 Logistics Corp,Richmond,IL,"	60071",CMS,SDVOSB,Caucasian,Male,"NIGP 75077 Sand and Gravel ; NIGP 91371 Maintenance and Repair, Highway and Road (To include the removal of asphalt, concrete, bitumens, etc) ; NIGP 96239 Hauling Services ; NIGP 96256 Moving and Relocation Services ; NIGP 96712 Aggregate, Concrete or Stone Products (Including Clay, Refractory Materials and Tile Products); 745-10-00 Asphalt, Emulsified (With Latex/Polymer) ; 745-14-00 Asphaltic Concrete, Cold Laid ; 745-21-00 Asphaltic Concrete, Hot Laid Including Bituminous Materials ; 745-68-00 Recycled Asphalt and Asphalt Products; 545-26-60	PRESSURE WASHER, HOT WATER; Active NIGP 07519 Cleaning and Washing Equipment: Steam, Cold and Hot Water Pressure and Jet Types, Portable and Stationary (Also See 075-49); Active NIGP 77545 Road Maintenance Salt (See Class 192 for Ice Removal Chemicals); ; 91395 Paving/Resurfacing, Highway and Road  ; ",5366 Logistics Corp,Richmond,IL,60071,Chicago,VBE,Hispanic/Latino,"NAICS 238110 - Concrete Work (except paving); NAICS 236220 - Construction Management, Commercial and Institutional Building Construction; NAICS 238910 - Dirt Moving For Construction; NAICS 484110 - General Freight Trucking, Local; NAICS 484220 - Dump Trucking; NAICS 484122 - Trucking, General Freight, Long-Distance, Less-Than-Truckload; NAICS 562119 - Waste (except solid and hazardous) Hauling, Local; NAICS 484121 - Trucking, General Freight, Long Distance, Truckload",5366 Logistics Corp,Richmond,IL,60071,Chicago,BEPD,"NAICS 238110 - Concrete Work (except paving); NAICS 236220 - Construction Management, Commercial and Institutional Building Construction; NAICS 238910 - Dirt Moving For Construction; NAICS 484110 - General Freight Trucking, Local; NAICS 484220 - Dump Trucking; NAICS 484122 - Trucking, General Freight, Long-Distance, Less-Than-Truckload; NAICS 562119 - Waste (except solid and hazardous) Hauling, Local; NAICS 484121 - Trucking, General Freight, Long Distance, Truckload"
5366 Logistics Corp,Richmond,IL,"	60071",CMS,PBE,Caucasian,Male,"NIGP 75077 Sand and Gravel ; NIGP 91371 Maintenance and Repair, Highway and Road (To include the removal of asphalt, concrete, bitumens, etc) ; NIGP 96239 Hauling Services ; NIGP 96256 Moving and Relocation Services ; NIGP 96712 Aggregate, Concrete or Stone Products (Including Clay, Refractory Materials and Tile Products); 745-10-00 Asphalt, Emulsified (With Latex/Polymer) ; 745-14-00 Asphaltic Concrete, Cold Laid ; 745-21-00 Asphaltic Concrete, Hot Laid Including Bituminous Materials ; 745-68-00 Recycled Asphalt and Asphalt Products; 545-26-60	PRESSURE WASHER, HOT WATER; Active NIGP 07519 Cleaning and Washing Equipment: Steam, Cold and Hot Water Pressure and Jet Types, Portable and Stationary (Also See 075-49); Active NIGP 77545 Road Maintenance Salt (See Class 192 for Ice Removal Chemicals); ; 91395 Paving/Resurfacing, Highway and Road  ; ",5366 Logistics Corp,Richmond,IL,60071,Chicago,BEPD,Hispanic/Latino,"NAICS 238110 - Concrete Work (except paving); NAICS 236220 - Construction Management, Commercial and Institutional Building Construction; NAICS 238910 - Dirt Moving For Construction; NAICS 484110 - General Freight Trucking, Local; NAICS 484220 - Dump Trucking; NAICS 484122 - Trucking, General Freight, Long-Distance, Less-Than-Truckload; NAICS 562119 - Waste (except solid and hazardous) Hauling, Local; NAICS 484121 - Trucking, General Freight, Long Distance, Truckload",5366 Logistics Corp,Richmond,IL,60071,Chicago,BEPD,"NAICS 238110 - Concrete Work (except paving); NAICS 236220 - Construction Management, Commercial and Institutional Building Construction; NAICS 238910 - Dirt Moving For Construction; NAICS 484110 - General Freight Trucking, Local; NAICS 484220 - Dump Trucking; NAICS 484122 - Trucking, General Freight, Long-Distance, Less-Than-Truckload; NAICS 562119 - Waste (except solid and hazardous) Hauling, Local; NAICS 484121 - Trucking, General Freight, Long Distance, Truckload"
